time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
0,0.000000,11.381970,9.105066,9.766807,10.084614
1,0.016667,82.845929,71.151165,85.788810,79.928635
2,0.033333,89.898341,79.429354,88.445236,85.924310
3,0.050000,91.541893,82.753765,91.113345,88.469668
4,0.066667,94.603072,85.295452,92.619871,90.839465
5,0.083333,95.369552,85.501238,92.734752,91.201847
6,0.100000,95.699777,85.701918,92.755860,91.385852
7,0.116667,95.731635,85.730008,92.892906,91.451516
8,0.133333,95.746057,85.739713,93.022150,91.502640
9,0.150000,95.747787,85.749418,93.031493,91.509566
10,0.166667,95.747787,85.770635,93.049140,91.522521
11,0.183333,95.747787,85.816604,93.049140,91.537844
12,0.200000,95.747787,85.816604,93.049140,91.537844
13,0.216667,95.747787,85.816604,93.049140,91.537844
14,0.233333,95.747787,85.816604,93.233870,91.599420
15,0.250000,95.747787,85.816604,93.233870,91.599420
16,0.266667,95.747787,85.817123,93.233870,91.599593
17,0.283333,95.747787,85.817123,93.233870,91.599593
18,0.300000,95.747787,85.817123,93.233870,91.599593
19,0.316667,95.747787,85.817123,93.233870,91.599593
20,0.333333,95.747787,85.817123,93.233870,91.599593
21,0.350000,95.747787,85.817123,93.233870,91.599593
22,0.366667,95.747787,85.817123,93.233870,91.599593
23,0.383333,95.747787,85.817123,93.233870,91.599593
24,0.400000,95.747787,85.817123,93.233870,91.599593
25,0.416667,95.747787,85.817123,93.234389,91.599766
26,0.433333,95.747787,85.817123,93.234389,91.599766
27,0.450000,95.747787,85.817123,93.444473,91.669794
28,0.466667,95.747787,85.817123,93.496994,91.687301
29,0.483333,95.957871,85.817123,93.496994,91.757329
30,0.500000,95.957871,85.817123,93.496994,91.757329
31,0.516667,96.045753,85.852483,93.532354,91.810197
32,0.533333,96.045753,85.852656,93.532354,91.810255
33,0.550000,96.045753,85.852656,93.532354,91.810255
34,0.566667,96.045753,85.852656,93.532354,91.810255
35,0.583333,96.045753,85.852656,93.532354,91.810255
