app_name,reached_methods,percentage_reached
aGrep,3,6.00
aagtl,8,16.00
adsdroid,0,0.00
a2dpvolume,7,14.67
Addi,0,0.00
aard2,12,24.00
divide_and_conquer,14,28.00
bomber,10,20.00
alarmclock,2,4.00
aLogCat,9,18.00
amazed,14,28.00
anycut,0,0.00
dalvikexplorer,1,2.00
appcachecleaner,12,24.00
autoanswer,3,6.00
countdowntimer,6,12.00
battery_circle,14,28.00
batterydog,4,8.00
bites,1,2.00
blokish,8,16.00
dialer2,10,20.00
bookcatalogue,0,0.00
mirrored,13,26.00
multismssender,2,4.00
frozenbubble,8,16.00
gestures,5,10.00
weight_chart,3,6.00
hotdeath,0,0.00
musicplayer,11,22.00
importcontacts,1,2.00
jamendo,0,0.00
learn_music_notes,0,0.00
k9mail,1,2.00
lockpatterngenerator,17,34.00
munchlife,5,10.00
lolcatbuilder,3,6.00
whohasmystuff,2,4.00
manpages,6,12.00
mileage,2,4.00
worldclock,14,28.00
mininoteviewer,1,2.00
mylock,1,2.00
passwordmaker,5,10.00
nectroid,7,14.00
wikipedia,19,38.00
netcounter,7,14.00
quicksettings,9,18.67
ringdroid,0,0.00
sanity,0,1.33
yahtzee,1,2.00
tippytipper,7,14.67
swiftp,2,5.33
syncmypix,0,1.33
zooborns,11,22.00
tomdroid,2,4.00
translate,5,10.67
Overall Average,,11.12
