app_name,reached_methods,percentage_reached
aagtl,8,16.00
aard2,12,24.00
Addi,0,0.00
adsdroid,0,0.00
aGrep,3,6.00
alarmclock,2,4.00
aLogCat,0,0.00
amazed,0,0.00
anycut,0,0.00
appcachecleaner,12,24.00
autoanswer,0,0.00
battery_circle,0,0.00
batterydog,0,0.00
bites,0,0.00
blokish,0,0.00
bomber,0,0.00
bookcatalogue,0,0.00
countdowntimer,6,12.00
dalvikexplorer,0,0.00
dialer2,10,20.00
divide_and_conquer,0,0.00
frozenbubble,8,16.00
gestures,0,0.00
hotdeath,0,0.00
importcontacts,1,2.00
jamendo,0,0.00
k9mail,1,2.00
learn_music_notes,0,0.00
lockpatterngenerator,17,34.00
lolcatbuilder,3,6.00
manpages,6,12.00
mileage,2,4.00
mininoteviewer,1,2.00
mirrored,13,26.00
multismssender,2,4.00
munchlife,5,10.00
musicplayer,12,24.00
mylock,1,2.00
nectroid,0,0.00
netcounter,0,0.00
passwordmaker,0,0.00
quicksettings,0,0.00
ringdroid,0,0.00
sanity,0,0.00
swiftp,0,0.00
syncmypix,0,0.00
tippytipper,0,0.00
tomdroid,0,0.00
translate,0,0.00
weight_chart,0,0.00
whohasmystuff,0,0.00
wikipedia,0,0.00
worldclock,0,0.00
yahtzee,0,0.00
zooborns,0,0.00
a2dpvolume,8,16.00
Overall Average,,4.75
