time_seconds,time_minutes,output_run7_avg,output_run8_avg,output_run9_avg,final_avg
0,0.000000,2.842091,3.947103,4.422358,3.737184
1,0.016667,49.224429,49.835715,50.227543,49.762562
2,0.033333,50.908512,50.982048,50.908499,50.933020
3,0.050000,50.996594,51.015189,50.933904,50.981895
4,0.066667,51.221844,51.245555,51.167739,51.211713
5,0.083333,51.516204,51.289825,51.219315,51.341781
6,0.100000,51.615303,51.937704,52.081603,51.878203
7,0.116667,51.666814,51.985966,52.097308,51.916696
8,0.133333,52.245646,51.985966,52.150038,52.127217
9,0.150000,52.624531,52.077541,52.674534,52.458869
10,0.166667,55.375231,55.657713,53.560813,54.864586
11,0.183333,60.655888,57.562206,59.277884,59.165326
12,0.200000,61.468357,59.456831,60.384102,60.436430
13,0.216667,62.302942,59.666916,61.646965,61.205608
14,0.233333,62.408747,60.946447,61.695689,61.683628
15,0.250000,62.450509,60.987803,61.781983,61.740098
16,0.266667,62.476366,61.493563,61.836307,61.935412
17,0.283333,62.477066,61.498680,61.951416,61.975720
18,0.300000,62.477066,61.498913,61.959037,61.978339
19,0.316667,62.477066,61.547176,61.984661,62.002968
20,0.333333,63.486728,61.893267,62.104197,62.494731
21,0.350000,64.037741,62.687057,62.473978,63.066259
22,0.366667,65.627848,63.917324,63.402789,64.315987
23,0.383333,65.902568,64.846301,64.524313,65.091061
24,0.400000,66.013711,64.900898,64.682031,65.198880
25,0.416667,66.319833,64.900898,65.803343,65.674691
26,0.433333,66.328418,64.944809,65.821951,65.698393
27,0.450000,66.337003,65.118775,65.821951,65.759243
28,0.466667,66.337003,65.129009,65.821951,65.762654
29,0.483333,66.343691,65.129009,66.172745,65.881815
30,0.500000,66.585004,65.594331,66.238178,66.139171
31,0.516667,66.696284,65.612836,66.265935,66.191685
32,0.533333,67.039798,65.668743,66.286699,66.331747
33,0.550000,68.210100,65.945199,66.973324,67.042874
34,0.566667,69.273201,66.064435,67.361924,67.566520
35,0.583333,69.485934,66.082473,67.618661,67.729023
36,0.600000,69.485934,66.082473,67.666514,67.744974
