app_name,reached_methods,percentage_reached
a2dpvolume,16,33.33
aagtl,16,33.33
aard2,20,41.33
amazed,19,39.33
Addi,10,20.00
adsdroid,31,62.00
aGrep,15,30.00
alarmclock,13,27.33
aLogCat,19,39.33
anycut,11,23.33
appcachecleaner,22,45.33
autoanswer,11,22.67
battery_circle,22,44.00
batterydog,19,38.00
bites,10,20.67
blokish,10,20.00
bomber,19,38.67
bookcatalogue,10,20.00
countdowntimer,19,38.00
dalvikexplorer,13,26.00
dialer2,19,38.67
divide_and_conquer,23,46.67
frozenbubble,16,33.33
gestures,14,28.67
hotdeath,32,65.33
importcontacts,17,34.67
jamendo,12,24.67
k9mail,10,20.67
learn_music_notes,19,38.67
lockpatterngenerator,25,50.00
lolcatbuilder,14,28.00
manpages,21,43.33
mileage,12,24.67
mininoteviewer,14,28.00
mirrored,20,40.67
multismssender,13,27.33
munchlife,12,24.67
musicplayer,23,46.67
mylock,11,22.00
nectroid,10,20.00
netcounter,17,35.33
passwordmaker,18,36.00
quicksettings,18,36.00
ringdroid,21,42.67
sanity,11,23.33
swiftp,16,32.67
syncmypix,12,25.33
tippytipper,34,68.00
tomdroid,13,26.67
translate,0,0.00
weight_chart,14,28.00
whohasmystuff,18,36.67
wikipedia,28,56.67
worldclock,23,46.00
yahtzee,12,24.00
zooborns,18,37.33
Overall Average,,34.00
